comment,replies,date,user_name
It’s always the ugly ones who push girl power.  Haha,[],2023-04-10T20:59:31Z,@ivermectin1974
Jim Cramer pushed theranos stock like mad.  When you see him pushing a stock like that.   That means it’s a scam.  He pushed bear sterns and Enron the same way.   He’s a tool for the elites to buy time for them to keep their money and keep regular people holding the bag.,[],2023-04-10T20:57:47Z,@ivermectin1974
5% of women do manual labor jobs.  Why don’t we hear about that stat with these women?   Oh wait they want to sit on the sidelines and get the high paying job just because.,[],2023-04-10T20:52:57Z,@ivermectin1974
Need to add Charlie Javice to the list!,[],2023-04-10T18:04:28Z,@yaizudamashii
"Dont need no man, I can pay mah own bills just wanna guy that earns 120k a year tho",[],2023-04-10T14:14:37Z,@michaelshannon9169
Bingo. It's all repackaged narcissism and excuses for failing to treat people decently.,[],2023-04-10T13:16:11Z,@George999Welch
Turns out you need more than banal feminist platitudes to run a company. Who knew?,[],2023-04-10T12:16:57Z,@almcdonald8676
White women only club…screw the colored.,"['They’re not ready to hear this 😅', 'Black women were too busy having children out of wedlock 75% of the time. 🤷🏻\u200d♂️']",2023-04-09T18:08:03Z,@DukeRico
When you girlboss too close to the sun,[],2023-04-09T13:24:36Z,@josesuokas217
"gaslight, gatekeep, girlboss.",[],2023-04-09T10:47:34Z,@fedda9999
14:21 what's up with the stare she gives ??? xD,[],2023-04-09T10:23:16Z,@fedda9999
Great vid,[],2023-04-08T11:37:50Z,@BleachBlonde-java
